Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
2/8/2018,1.2242,108.73,0.9362,1.3899,1.261
2/9/2018,1.2235,108.81,0.9398,1.3826,1.2586
2/12/2018,1.229,108.68,0.9385,1.3832,1.2596
2/13/2018,1.2352,107.71,0.9344,1.3876,1.2591
2/14/2018,1.2446,107.16,0.9307,1.3998,1.2509
2/15/2018,1.2506,106.09,0.9215,1.4097,1.2483
2/16/2018,1.2406,106.35,0.9279,1.4011,1.2556
2/19/2018,1.2405,106.57,0.9295,1.4003,1.2561
2/20/2018,1.2335,107.23,0.9356,1.3985,1.2643
2/21/2018,1.2293,107.64,0.938,1.3923,1.2685
2/22/2018,1.2326,106.69,0.9331,1.3954,1.2712
2/23/2018,1.229,106.69,0.9363,1.3966,1.2658
2/26/2018,1.2308,106.97,0.9381,1.3963,1.268
2/27/2018,1.2234,107.37,0.939,1.3913,1.2753
2/28/2018,1.2199,106.65,0.9441,1.3762,1.2833
3/1/2018,1.2255,106.22,0.9425,1.3771,1.2817
3/2/2018,1.2324,105.64,0.9372,1.3784,1.2901
3/5/2018,1.2328,106.2,0.9403,1.3833,1.299
3/6/2018,1.24,106.2,0.9407,1.3888,1.2897
3/7/2018,1.2403,106.04,0.9438,1.3889,1.2959
3/8/2018,1.2301,106.21,0.9517,1.3803,1.2898
3/9/2018,1.2306,106.82,0.9514,1.3842,1.283
3/12/2018,1.2337,106.34,0.9466,1.3909,1.2824
3/13/2018,1.2395,106.59,0.9441,1.3975,1.294
3/14/2018,1.2371,106.25,0.9449,1.3968,1.2944
3/15/2018,1.2301,106.22,0.9514,1.3928,1.3056
3/16/2018,1.2287,106.04,0.9525,1.3938,1.309
3/19/2018,1.2339,106.12,0.9503,1.4029,1.3061
3/20/2018,1.2254,106.47,0.9553,1.4005,1.3079
3/21/2018,1.2334,106.07,0.9502,1.4137,1.2912
3/22/2018,1.2306,105.59,0.9503,1.4106,1.2915
3/23/2018,1.2358,104.86,0.9467,1.4137,1.287
3/26/2018,1.2453,105.27,0.9447,1.4227,1.2866
3/27/2018,1.2402,105.49,0.947,1.4154,1.2879
3/28/2018,1.2308,106.83,0.9572,1.4077,1.2917
3/29/2018,1.2304,106.48,0.9563,1.4033,1.2871
3/30/2018,1.2323,106.21,0.9528,1.4046,1.2893
4/2/2018,1.23,105.86,0.9544,1.4042,1.2936
4/3/2018,1.227,106.58,0.9588,1.406,1.2797
4/4/2018,1.2281,106.74,0.9602,1.4075,1.2789
4/5/2018,1.2232,107.44,0.9628,1.3996,1.2781
4/6/2018,1.2288,106.8,0.9586,1.4086,1.2781
4/9/2018,1.2318,106.75,0.9565,1.4128,1.2708
4/10/2018,1.2359,107.17,0.9567,1.4181,1.2596
4/11/2018,1.2362,106.91,0.958,1.4173,1.2579
4/12/2018,1.233,107.19,0.9619,1.4224,1.2586
4/13/2018,1.2338,107.37,0.9618,1.4239,1.2614
